date,length,weight,food
0,345.0,480.0,29.09090909090909
1,346.2068965517241,480.32758620689657,29.00055319933616
2,347.41379310344826,480.6551724137931,28.91019730776323
3,348.62068965517244,480.9827586206897,28.8198414161903
4,349.82758620689657,481.3103448275862,28.72948552461737
5,351.0344827586207,481.63793103448273,28.63912963304444
6,352.2413793103448,481.9655172413793,28.54877374147151
7,353.4482758620689,482.2931034482759,28.45841784989858
8,354.6551724137931,482.6206896551725,28.368061958325647
9,355.86206896551727,482.94827586206895,28.27770606675272
10,357.0689655172414,483.2758620689655,28.187350175179787
11,358.2758620689655,483.6034482758621,28.096994283606858
12,359.48275862068965,483.9310344827586,28.006638392033928
13,360.6896551724138,484.2586206896552,27.916282500461
14,361.8965517241379,484.5862068965517,27.825926608888068
15,363.1034482758621,484.91379310344826,27.73557071731513
16,364.3103448275862,485.2413793103448,27.645214825742208
17,365.5172413793104,485.5689655172414,27.55485893416928
18,366.7241379310345,485.8965517241379,27.46450304259635
19,367.9310344827586,486.2241379310345,27.37414715102342
20,369.13793103448273,486.5517241379311,27.28379125945049
21,370.3448275862069,486.8793103448276,27.193435367877555
22,371.5517241379311,487.2068965517241,27.103079476304625
23,372.7586206896552,487.5344827586207,27.01272358473169
24,373.9655172413793,487.86206896551727,26.922367693158765
25,375.1724137931034,488.1896551724138,26.83201180158584
26,376.3793103448276,488.5172413793104,26.741655910012906
27,377.5862068965517,488.8448275862069,26.651300018439976
28,378.7931034482759,489.1724137931034,26.56094412686705
29,380.0,489.5,26.47058823529412
30,380.0,501.75,27.77310924369748
31,380.0,514.0,29.07563025210084
32,380.0,526.25,30.3781512605042
33,380.0,538.5,31.68067226890756
34,380.0,550.75,32.983193277310924
35,380.0,563.0,34.285714285714285
36,380.9090909090909,568.1363636363636,34.331550802139034
37,381.8181818181818,573.2727272727273,34.37738731856379
38,382.7272727272728,578.4090909090909,34.42322383498854
39,383.6363636363636,583.5454545454545,34.46906035141329
40,384.54545454545456,588.6818181818181,34.51489686783805
41,385.45454545454544,593.8181818181819,34.5607333842628
42,386.3636363636364,598.9545454545455,34.606569900687546
43,387.27272727272725,604.0909090909091,34.6524064171123
44,388.1818181818182,609.2272727272727,34.69824293353705
45,389.09090909090907,614.3636363636364,34.7440794499618
46,390.0,619.5,34.78991596638656
47,390.9090909090909,624.6363636363636,34.83575248281131
48,391.8181818181818,629.7727272727273,34.88158899923606
49,392.7272727272728,634.9090909090909,34.92742551566081
50,393.6363636363636,640.0454545454545,34.973262032085564
51,394.54545454545456,645.1818181818182,35.019098548510314
52,395.45454545454544,650.3181818181819,35.064935064935064
53,396.3636363636364,655.4545454545455,35.11077158135982
54,397.27272727272725,660.5909090909091,35.15660809778457
55,398.1818181818182,665.7272727272727,35.20244461420932
56,399.09090909090907,670.8636363636364,35.24828113063408
57,400.0,676.0,35.294117647058826
